============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(113. MeV) ==> Upper Be+He Gas+Lower Be( 8.02 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  8 .9625774E+08   8025000E+01 -.1443E+06  .6659E+05   .9999996 -.0008212  .0003101
T    2  8 .9634659E+08   8025000E+01  .7784E+05 -.1765E+06   .9999959  .0027841 -.0007090
T    3  8 .9658243E+08   8025000E+01 -.1413E+06 -.3596E+05   .9999999 -.0002210 -.0002510
T    4  8 .9643832E+08   8025000E+01  .2097E+06  .4413E+05   .9999948  .0029822  .0012500
T    5  8 .9609866E+08   8025000E+01 -.1794E+06  .1426E+06   .9999951 -.0018044  .0025423
T    6  8 .9622433E+08   8025000E+01  .2359E+06  .7579E+05   .9999966  .0025663  .0004428
T    7  8 .9652842E+08   8025000E+01  .3805E+05  .1607E+06   .9999983 -.0005469  .0017876
T    8  8 .9643025E+08   8025000E+01  .2655E+06 -.2031E+06   .9999831  .0049972 -.0029585
T    9  8 .9623174E+08   8025000E+01  .5779E+05  .7096E+05   .9999968  .0024957 -.0003817
T   10  8 .9634849E+08   8025000E+01 -.9931E+05  .2799E+06   .9999925 -.0016416  .0034998
T   11  8 .9619721E+08   8025000E+01 -.7637E+06  .3098E+06   .9999530 -.0087775  .0041117
T   12  8 .9632724E+08   8025000E+01 -.5551E+05 -.3213E+06   .9999790  .0004452 -.0064677
T   13  8 .9658575E+08   8025000E+01  .7990E+05  .1301E+06   .9999979  .0002535 -.0020175
T   14  8 .9648979E+08   8025000E+01 -.2043E+06 -.5352E+06   .9999820 -.0009761 -.0059191
T   15  8 .9606036E+08   8025000E+01 -.1225E+06  .7514E+05   .9999977 -.0019816  .0008530
T   16  8 .9613356E+08   8025000E+01 -.1005E+06  .8139E+05   .9999976 -.0018832  .0011546
T   17  8 .9616248E+08   8025000E+01 -.3517E+06 -.9281E+04   .9999878 -.0047965  .0011946
T   18  8 .9606819E+08   8025000E+01  .7775E+05  .1029E+06   .9999987  .0009824 -.0012709
T   19  8 .9620563E+08   8025000E+01  .1094E+06  .5334E+05   .9999962 -.0001071  .0027470
T   20  8 .9640933E+08   8025000E+01 -.1416E+05 -.9440E+05   .9999921  .0029961 -.0025983
T   21  8 .9605764E+08   8025000E+01  .1298E+06 -.2924E+05   .9999926  .0031789 -.0021733
T   22  8 .9634062E+08   8025000E+01  .1324E+05 -.5669E+05   .9999851  .0049693  .0022459
T   23  8 .9652773E+08   8025000E+01 -.3521E+06 -.2920E+06   .9999812 -.0039582 -.0046847
T   24  8 .9634201E+08   8025000E+01  .5640E+05 -.1285E+06   .9999996  .0002627 -.0008118
T   25  8 .9615918E+08   8025000E+01  .5903E+05  .8680E+04   .9999966  .0023547 -.0011632
T   26  8 .9617498E+08   8025000E+01  .2933E+05  .2650E+06   .9999941 -.0004773  .0034065
T   27  8 .9631729E+08   8025000E+01  .4339E+05 -.2631E+05   .9999973 -.0011425  .0020407
T   28  8 .9646691E+08   8025000E+01 -.1226E+06  .2076E+06   .9999894 -.0043274 -.0015508
T   29  8 .9659587E+08   8025000E+01 -.1224E+06 -.1721E+05   .9999989  .0010238  .0010957
T   30  8 .9648572E+08   8025000E+01 -.9463E+05 -.1289E+06   .9999930  .0004479 -.0037085
T   31  8 .9641558E+08   8025000E+01 -.1275E+06 -.7649E+05   .9999957 -.0009774 -.0027719
T   32  8 .9628819E+08   8025000E+01  .1453E+06  .3689E+05   .9999918  .0026513  .0030613
T   33  8 .9649095E+08   8025000E+01 -.7799E+05  .6466E+04   .9999973 -.0023351  .0002113
T   34  8 .9637645E+08   8025000E+01  .3996E+06  .5520E+04   .9999806  .0061278 -.0011486
T   35  8 .9615670E+08   8025000E+01  .1943E+06  .3250E+06   .9999879  .0026278  .0041673
T   36  8 .9632085E+08   8025000E+01  .5120E+05  .1107E+06   .9999960  .0027679  .0006458
T   37  8 .9653502E+08   8025000E+01 -.3070E+06 -.4979E+05   .9999797  .0027223  .0057523
T   38  8 .9628143E+08   8025000E+01 -.2213E+06 -.2804E+06   .9999914 -.0028450 -.0030076
T   39  8 .9586504E+08   8025000E+01  .2422E+05 -.1213E+06   .9999268 -.0083240  .0087861
T   40  8 .9655609E+08   8025000E+01 -.2431E+06  .3475E+05   .9999977 -.0015919  .0014046
T   41  8 .9631376E+08   8025000E+01  .3934E+05 -.1645E+06   .9999981  .0013719 -.0014057
T   42  8 .9628445E+08   8025000E+01 -.3945E+05 -.9155E+05   .9999963  .0024327  .0012492
T   43  8 .9652001E+08   8025000E+01 -.5126E+04 -.3327E+05   .9999966  .0017449  .0019516
T   44  8 .9658417E+08   8025000E+01  .1960E+04  .4174E+05   .9999980  .0019816 -.0003098
T   45  8 .9627265E+08   8025000E+01 -.7011E+05 -.1226E+06   .9999874 -.0023636  .0044307
T   46  8 .9664808E+08   8025000E+01 -.1847E+06  .1325E+06   .9999986 -.0005982  .0015430
T   47  8 .9639411E+08   8025000E+01 -.2942E+05 -.1414E+06   .9999985 -.0009368 -.0014238
T   48  8 .9616512E+08   8025000E+01  .9643E+05  .5581E+05   .9999952  .0025848  .0016829
T   49  8 .9664438E+08   8025000E+01 -.8908E+05 -.1541E+06   .9999851 -.0012541 -.0053176
T   50  8 .9622356E+08   8025000E+01  .8147E+05  .1959E+06   .9999930  .0000771  .0037318
T   51  8 .9628313E+08   8025000E+01 -.8909E+04  .1131E+06   .9999981 -.0015212  .0011943
T   52  8 .9646267E+08   8025000E+01  .3180E+06 -.1370E+06   .9999871  .0037036 -.0034777
T   53  8 .9611336E+08   8025000E+01  .6500E+05  .1405E+06   .9999986  .0004792 -.0015967
T   54  8 .9650790E+08   8025000E+01 -.2384E+06  .4437E+06   .9999840 -.0040956  .0039079
T   55  8 .9671740E+08   8025000E+01  .3718E+05  .4386E+05   .9999866  .0051108  .0008031
T   56  8 .9637472E+08   8025000E+01 -.4986E+05 -.3226E+05   .9999936 -.0032000  .0015868
T   57  8 .9632713E+08   8025000E+01 -.9077E+05  .2000E+06   .9999966 -.0018740  .0018363
T   58  8 .9665879E+08   8025000E+01 -.1408E+06  .1228E+05   .9999592  .0073376 -.0052703
T   59  8 .9664854E+08   8025000E+01 -.9669E+05  .2087E+06   .9998605 -.0127137  .0108316
T   60  8 .9621659E+08   8025000E+01 -.1562E+06 -.1169E+06   .9999922 -.0030003 -.0025720
T   61  8 .9663637E+08   8025000E+01 -.1479E+06  .1390E+06   .9999965 -.0018702  .0018492
T   62  8 .9636019E+08   8025000E+01 -.9557E+05 -.1155E+06   .9999874 -.0028089 -.0041717
T   63  8 .9630988E+08   8025000E+01  .2365E+04 -.1075E+06   .9999932  .0017583 -.0032566
T   64  8 .9655574E+08   8025000E+01 -.6897E+05  .2273E+06   .9999955  .0003001  .0029732
T   65  8 .9630886E+08   8025000E+01  .8928E+05 -.5876E+05   .9999929  .0033036 -.0018346
T   66  8 .9640214E+08   8025000E+01  .1885E+05  .1102E+06   .9999747  .0067114 -.0023703
T   67  8 .9649013E+08   8025000E+01  .8565E+05 -.8165E+05   .9999996 -.0006883  .0005562
T   68  8 .9621050E+08   8025000E+01 -.1548E+06  .2232E+06   .9999959  .0023322  .0016860
T   69  8 .9633664E+08   8025000E+01 -.3017E+06 -.7847E+05   .9999904 -.0043853  .0000517
T   70  8 .9645956E+08   8025000E+01  .8786E+05  .1280E+06   .9999954 -.0027033  .0013748
T   71  8 .9641725E+08   8025000E+01  .5152E+05 -.1030E+06   .9999979  .0002888 -.0020210
T   72  8 .9655060E+08   8025000E+01  .3760E+06 -.1569E+06   .9999869  .0035747 -.0036565
T   73  8 .9632804E+08   8025000E+01  .1279E+06  .6178E+06   .9999729  .0026743  .0068664
T   74  8 .9655709E+08   8025000E+01  .8737E+05  .1531E+06   .9999948  .0015374  .0028339
T   75  8 .9630497E+08   8025000E+01 -.1634E+06  .8883E+05   .9999924 -.0034825 -.0017439
T   76  8 .9624267E+08   8025000E+01  .8220E+04 -.6160E+04   .9999761  .0042512 -.0054543
T   77  8 .9630254E+08   8025000E+01  .5791E+05  .7202E+05   .9999974  .0006844 -.0021676
T   78  8 .9643422E+08   8025000E+01  .3108E+05 -.1087E+06   .9999964  .0023714 -.0012920
T   79  8 .9648201E+08   8025000E+01 -.8476E+05  .5160E+05   .9999980 -.0018884 -.0005903
T   80  8 .9665304E+08   8025000E+01  .1835E+06  .2403E+05   .9999978  .0014800 -.0014829
T   81  8 .9647427E+08   8025000E+01 -.2258E+06  .2239E+06   .9999953 -.0023957  .0019360
T   82  8 .9663222E+08   8025000E+01  .5384E+05 -.1516E+06   .9999967 -.0005836 -.0024994
T   83  8 .9645979E+08   8025000E+01 -.2990E+05 -.6287E+05   .9999684  .0032156 -.0072771
T   84  8 .9652010E+08   8025000E+01 -.2875E+06  .4306E+06   .9999759 -.0028497  .0063350
T   85  8 .9638302E+08   8025000E+01  .1212E+05 -.1834E+05   .9999949  .0021658 -.0023637
T   86  8 .9633525E+08   8025000E+01 -.2477E+04 -.2277E+06   .9999840 -.0035243 -.0044321
T   87  8 .9648225E+08   8025000E+01  .1164E+06 -.6033E+06   .9999825  .0004337 -.0058960
T   88  8 .9635144E+08   8025000E+01  .2589E+06 -.4577E+06   .9999834  .0048858 -.0030520
T   89  8 .9641800E+08   8025000E+01 -.2472E+06 -.2073E+06   .9999922 -.0037484 -.0012336
T   90  8 .9633320E+08   8025000E+01 -.2280E+06 -.6503E+05   .9999852 -.0043783 -.0032346
T   91  8 .9661083E+08   8025000E+01  .1753E+06 -.1343E+06   .9999949  .0031836 -.0001287
T   92  8 .9622570E+08   8025000E+01  .1150E+05  .2003E+06   .9999849 -.0015929  .0052600
T   93  8 .9613888E+08   8025000E+01 -.1273E+06 -.1393E+06   .9999971 -.0015154 -.0018654
T   94  8 .9621502E+08   8025000E+01  .7483E+04  .1022E+06   .9999911 -.0041737  .0005897
T   95  8 .9672300E+08   8025000E+01  .9450E+05  .3400E+06   .9999954  .0015914  .0026007
T   96  8 .9635225E+08   8025000E+01  .9959E+05 -.2091E+06   .9999941  .0010883 -.0032609
