============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(113. MeV) ==> Upper Be+He Gas+Lower Be( 8.02 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  8 .9625561E+08   8025000E+01 -.9753E+05 -.3045E+05   .9999992 -.0011779 -.0003626
T    2  8 .9652148E+08   8025000E+01  .1102E+06  .6610E+05   .9999898  .0042124  .0016485
T    3  8 .9620516E+08   8025000E+01 -.1293E+06  .1160E+06   .9999904  .0040964 -.0015520
T    4  8 .9635716E+08   8025000E+01  .1744E+06  .1148E+06   .9999997 -.0004813  .0005901
T    5  8 .9619124E+08   8025000E+01  .2551E+05  .1118E+06   .9999974  .0021113  .0008721
T    6  8 .9633454E+08   8025000E+01  .1133E+06  .4176E+05   .9999966  .0025695  .0004192
T    7  8 .9648863E+08   8025000E+01  .7174E+04 -.1291E+06   .9999894  .0042286 -.0018172
T    8  8 .9636940E+08   8025000E+01 -.2916E+05 -.4762E+06   .9999834  .0027647 -.0050624
T    9  8 .9633079E+08   8025000E+01 -.1976E+06  .2416E+06   .9999720 -.0048710  .0056786
T   10  8 .9647734E+08   8025000E+01  .1729E+05  .5800E+05   .9999992 -.0002336 -.0012106
T   11  8 .9628496E+08   8025000E+01  .7562E+05 -.2653E+05   .9999935 -.0019073 -.0030516
T   12  8 .9633885E+08   8025000E+01  .1364E+06 -.8226E+05   .9999916  .0037481 -.0016580
T   13  8 .9650095E+08   8025000E+01  .7043E+05 -.3554E+06   .9999665  .0001034 -.0081842
T   14  8 .9640341E+08   8025000E+01 -.2393E+05 -.5569E+05   .9999999 -.0000509  .0004542
T   15  8 .9619908E+08   8025000E+01 -.1580E+05  .1780E+05   .9999992 -.0002337  .0012729
T   16  8 .9624226E+08   8025000E+01 -.6360E+05 -.1483E+06   .9999783 -.0055092 -.0036079
T   17  8 .9627725E+08   8025000E+01 -.1345E+06  .6433E+05   .9999941 -.0008525  .0033208
T   18  8 .9637645E+08   8025000E+01 -.2042E+06 -.6055E+05   .9999921 -.0034245 -.0020295
T   19  8 .9629047E+08   8025000E+01  .1206E+05 -.1885E+05   .9999978  .0013901 -.0015888
T   20  8 .9636201E+08   8025000E+01 -.4230E+05  .4249E+05   .9999975  .0021531  .0005962
T   21  8 .9632427E+08   8025000E+01 -.9055E+05 -.1226E+06   .9999871 -.0035678 -.0036111
T   22  8 .9685075E+08   8025000E+01  .1067E+06  .1332E+06   .9999886 -.0045360  .0015133
T   23  8 .9634102E+08   8025000E+01 -.1816E+06  .4316E+05   .9999999  .0001426 -.0001576
T   24  8 .9622082E+08   8025000E+01  .1555E+06  .9160E+04   .9999962 -.0017424 -.0021545
T   25  8 .9609476E+08   8025000E+01 -.6145E+04 -.2873E+05   .9999996 -.0008815 -.0000581
T   26  8 .9628222E+08   8025000E+01 -.9932E+05 -.1668E+06   .9999890 -.0005694 -.0046640
T   27  8 .9628760E+08   8025000E+01 -.2861E+05 -.1852E+06   .9999882 -.0010069 -.0047476
T   28  8 .9651982E+08   8025000E+01  .9811E+05 -.1988E+06   .9999852  .0044231  .0031672
T   29  8 .9624858E+08   8025000E+01 -.2924E+05  .1798E+05   .9999996 -.0008781  .0001747
T   30  8 .9617850E+08   8025000E+01 -.2700E+06 -.6452E+05   .9999901 -.0044481 -.0000920
T   31  8 .9628908E+08   8025000E+01  .9632E+04  .7119E+05   .9999963  .0008539  .0025766
T   32  8 .9613640E+08   8025000E+01  .1300E+06 -.1167E+06   .9999881  .0048708 -.0000883
T   33  8 .9633205E+08   8025000E+01  .1482E+06  .5850E+05   .9999999 -.0002033 -.0001588
T   34  8 .9638533E+08   8025000E+01 -.2675E+05  .5962E+05   .9999987  .0011213  .0011683
T   35  8 .9619558E+08   8025000E+01  .7457E+03 -.1095E+06   .9999996  .0002005 -.0008790
T   36  8 .9628050E+08   8025000E+01 -.2250E+06  .3522E+05   .9999931 -.0029626  .0022436
T   37  8 .9642225E+08   8025000E+01  .2689E+06  .2848E+05   .9999916  .0033650 -.0023375
T   38  8 .9622075E+08   8025000E+01  .1240E+06  .1636E+06   .9999969  .0024714 -.0003779
T   39  8 .9603398E+08   8025000E+01  .2239E+04 -.4769E+05   .9998717 -.0160151 -.0003782
T   40  8 .9623199E+08   8025000E+01 -.1262E+06  .9774E+05   .9999967 -.0024680 -.0007468
T   41  8 .9624659E+08   8025000E+01  .1220E+06  .1602E+06   .9999982  .0012530  .0013930
T   42  8 .9645786E+08   8025000E+01 -.8355E+05  .7832E+05   .9999986 -.0016132 -.0004868
T   43  8 .9641989E+08   8025000E+01 -.1065E+06 -.1631E+06   .9999875 -.0046281 -.0019073
