============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(113. MeV) ==> Upper Be+He Gas+Lower Be( 8.03 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  8 .9306309E+08   8030000E+01 -.5143E+05  .1140E+05   .9999989 -.0004074 -.0014459
T   55  8 .9283218E+08   8030000E+01 -.1633E+06 -.1601E+06   .9999922 -.0001752 -.0039567
T   56  8 .9307388E+08   8030000E+01 -.2305E+06  .3584E+06   .9999947 -.0027080  .0018002
T   57  8 .9306515E+08   8030000E+01  .9716E+05 -.4919E+05   .9999989  .0002616 -.0014639
T   58  8 .9270726E+08   8030000E+01  .1419E+06 -.3037E+06   .9999882  .0035119 -.0033580
T   59  8 .9309978E+08   8030000E+01 -.1194E+06 -.2455E+06   .9999830 -.0013492 -.0056683
T   60  8 .9286413E+08   8030000E+01  .7763E+05 -.1819E+05   .9999998 -.0004978  .0002889
T   61  8 .9306348E+08   8030000E+01 -.1095E+06 -.3795E+05   .9999983 -.0006194 -.0017629
T   62  8 .9314185E+08   8030000E+01  .6354E+05 -.1474E+06   .9999977 -.0010500 -.0018571
T   63  8 .9301283E+08   8030000E+01  .1680E+06  .2140E+06   .9999962  .0026891  .0005954
T   64  8 .9335951E+08   8030000E+01 -.2566E+05 -.4997E+05   .9999828 -.0005551 -.0058430
T   65  8 .9325626E+08   8030000E+01 -.1750E+06 -.5908E+05   .9999975 -.0015879  .0015427
T   66  8 .9311069E+08   8030000E+01 -.1723E+06 -.2665E+05   .9999957 -.0028906  .0004083
T   67  8 .9316156E+08   8030000E+01  .1010E+06  .2604E+06   .9999945  .0030737  .0012145
T   68  8 .9295994E+08   8030000E+01 -.2602E+05  .1352E+05   .9999843  .0046690  .0030922
T   69  8 .9271481E+08   8030000E+01 -.5334E+06 -.3145E+06   .9999839  .0007632 -.0056155
T   70  8 .9315877E+08   8030000E+01  .2287E+05 -.9907E+05   .9999988 -.0010549 -.0011471
T   71  8 .9303810E+08   8030000E+01  .1464E+06 -.1684E+06   .9999870  .0048600 -.0015463
T   72  8 .9290203E+08   8030000E+01 -.1360E+06  .1224E+06   .9999907 -.0042707 -.0006772
T   73  8 .9284486E+08   8030000E+01  .6896E+05  .8210E+05   .9999966  .0025999 -.0003115
T   74  8 .9311537E+08   8030000E+01  .5321E+05  .2860E+05   .9999995  .0005258 -.0008553
T   75  8 .9280020E+08   8030000E+01 -.3571E+06  .6412E+05   .9999705 -.0061195  .0046489
T   76  8 .9285194E+08   8030000E+01  .1006E+06 -.1104E+06   .9999936  .0031582 -.0016737
T   77  8 .9300548E+08   8030000E+01  .2406E+06  .6963E+05   .9999823  .0031218  .0050591
T   78  8 .9279022E+08   8030000E+01  .1394E+06 -.1212E+06   .9999825  .0051659 -.0028715
T   79  8 .9278701E+08   8030000E+01  .1835E+06 -.1489E+06   .9999997  .0005987 -.0004268
T   80  8 .9264160E+08   8030000E+01 -.3265E+06  .1446E+06   .9999710 -.0075948 -.0005763
T   81  8 .9281124E+08   8030000E+01 -.2238E+05  .2675E+06   .9999913  .0022749  .0034830
T   82  8 .9276776E+08   8030000E+01  .2505E+06 -.7104E+06   .9999448  .0020595 -.0103038
T   83  8 .9269417E+08   8030000E+01 -.8983E+05  .1090E+06   .9999984 -.0011113  .0014229
T   84  8 .9276160E+08   8030000E+01 -.8900E+04  .4143E+05   .9999982  .0017632  .0006343
T   85  8 .9303787E+08   8030000E+01  .6459E+04  .2539E+05   .9999955  .0010162  .0028304
T   86  8 .9271041E+08   8030000E+01 -.3821E+05  .1698E+06   .9999985  .0002373  .0017394
T   87  8 .9292752E+08   8030000E+01  .5006E+05 -.9789E+05   .9999971  .0012730 -.0020560
T   88  8 .9280156E+08   8030000E+01 -.1086E+06  .9894E+05   .9999967 -.0012144  .0022501
T   89  8 .9308671E+08   8030000E+01  .8682E+05 -.8274E+05   .9999966  .0023987 -.0010380
T   90  8 .9286227E+08   8030000E+01 -.2146E+06 -.4501E+05   .9999973 -.0022810 -.0004056
T   91  8 .9287085E+08   8030000E+01  .2687E+04 -.1016E+06   .9999962  .0021028 -.0017815
T   92  8 .9274016E+08   8030000E+01 -.2263E+06 -.4142E+05   .9999992 -.0012736 -.0001710
T   93  8 .9322475E+08   8030000E+01 -.1706E+06  .1596E+06   .9999906 -.0037564 -.0021429
T   94  8 .9287826E+08   8030000E+01  .5055E+05 -.1877E+06   .9999958  .0025350  .0014016
T   95  8 .9264833E+08   8030000E+01 -.1141E+06  .4010E+04   .9999860  .0036411  .0038441
T   96  8 .9316136E+08   8030000E+01  .7864E+05  .7167E+05   .9999923 -.0006113  .0038678
T   97  8 .9290842E+08   8030000E+01 -.7431E+05 -.1267E+06   .9999789 -.0061900 -.0019550
T   98  8 .9284743E+08   8030000E+01  .6382E+05 -.1804E+06   .9999882  .0037152 -.0031158
T   99  8 .9302519E+08   8030000E+01  .3315E+06  .6925E+05   .9999961  .0026570 -.0009045
T  100  8 .9288981E+08   8030000E+01  .1427E+06  .5268E+04   .9999686  .0056850  .0055259
T  101  8 .9297351E+08   8030000E+01  .7282E+05  .7426E+05   .9999988  .0014626 -.0004013
T  102  8 .9281147E+08   8030000E+01  .5759E+05 -.1321E+06   .9999843  .0041180 -.0037980
T  103  8 .9271966E+08   8030000E+01 -.1183E+06  .2046E+06   .9999984  .0012208  .0013354
T  104  8 .9272943E+08   8030000E+01  .8830E+04  .1235E+05   .9999993  .0011170  .0003876
T  105  8 .9288575E+08   8030000E+01 -.2060E+06 -.2074E+06   .9999760 -.0069043 -.0005672
T  106  8 .9315532E+08   8030000E+01 -.7113E+05 -.5334E+04   .9999984 -.0012794  .0012643
T  107  8 .9294776E+08   8030000E+01  .7319E+05 -.2546E+05   .9999999  .0001449  .0002632
T  108  8 .9306281E+08   8030000E+01 -.1366E+06  .4310E+06   .9999862 -.0001908  .0052439
T  109  8 .9277912E+08   8030000E+01 -.1865E+06 -.1311E+06   .9999779 -.0041556 -.0051852
T  110  8 .9288815E+08   8030000E+01 -.1690E+05  .1713E+06   .9999960  .0015563  .0023779
T  111  8 .9292470E+08   8030000E+01  .4956E+05 -.1955E+06   .9999962 -.0002109 -.0027401
T  112  8 .9289059E+08   8030000E+01  .8040E+05 -.2618E+06   .9999810  .0013348 -.0060114
T  113  8 .9303430E+08   8030000E+01  .7415E+05  .2380E+06   .9999959 -.0013882  .0025087
T  114  8 .9295418E+08   8030000E+01 -.3319E+06  .2135E+06   .9999808 -.0051781  .0034069
T  115  8 .9257706E+08   8030000E+01 -.5793E+06  .2878E+06   .9999744 -.0040040  .0059230
T  116  8 .9280746E+08   8030000E+01 -.7393E+05 -.1879E+05   .9999874  .0042146 -.0027107
T  117  8 .9272478E+08   8030000E+01 -.2110E+06 -.1174E+06   .9999973  .0010252 -.0021044
T  118  8 .9277467E+08   8030000E+01 -.3828E+05 -.1424E+06   .9999938 -.0002673 -.0034979
T  119  8 .9272444E+08   8030000E+01 -.5403E+05  .1627E+06   .9999989 -.0009605 -.0011271
T  120  8 .9274622E+08   8030000E+01 -.2021E+06  .1409E+06   .9999592 -.0077894  .0045743
T  121  8 .9293997E+08   8030000E+01  .1925E+06 -.2277E+05   .9999990 -.0009660  .0010589
T  122  8 .9307855E+08   8030000E+01 -.3317E+05 -.8744E+04   .9999990  .0001636  .0013951
T  123  8 .9316409E+08   8030000E+01  .1666E+05 -.1890E+06   .9999979  .0004002 -.0020012
T  124  8 .9300067E+08   8030000E+01 -.8059E+05 -.9269E+05   .9999991 -.0013324 -.0000759
T  125  8 .9307630E+08   8030000E+01  .4504E+05 -.7996E+05   .9999972  .0023093 -.0005716
T  126  8 .9288647E+08   8030000E+01 -.2226E+06 -.1496E+06   .9999946 -.0031136 -.0010048
T  127  8 .9318508E+08   8030000E+01  .1267E+03 -.1804E+06   .9999986  .0003964 -.0016118
T  128  8 .9259236E+08   8030000E+01 -.2222E+06 -.6372E+05   .9999878 -.0022484 -.0044073
T  129  8 .9292521E+08   8030000E+01  .7237E+05  .1154E+06   .9999956  .0028614 -.0007450
T  130  8 .9264919E+08   8030000E+01 -.1233E+06 -.1368E+06   .9999945 -.0022571 -.0024477
