============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(113. MeV) ==> Upper Be+He Gas+Lower Be( 8.02 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  8 .9961268E+08   8020000E+01 -.1853E+06 -.6949E+05   .9999850 -.0051610 -.0018491
T   55  8 .9987667E+08   8020000E+01 -.1398E+05 -.3000E+06   .9999889 -.0027191 -.0038541
T   56  8 .9972661E+08   8020000E+01  .2933E+05 -.9562E+05   .9999982 -.0004969 -.0018436
T   57  8 .9955402E+08   8020000E+01  .4523E+05 -.8642E+05   .9999975  .0011275 -.0019191
T   58  8 .9948726E+08   8020000E+01 -.8929E+05 -.1640E+06   .9999971  .0004043 -.0023728
T   59  8 .9953439E+08   8020000E+01 -.5394E+05  .2437E+06   .9999925 -.0026039  .0028625
T   60  8 .9972568E+08   8020000E+01  .1296E+06  .1281E+06   .9999944  .0022009  .0025283
T   61  8 .9963797E+08   8020000E+01 -.4050E+05  .1463E+06   .9999982  .0004137  .0018671
T   62  8 .1001539E+09   8020000E+01 -.8525E+05 -.9957E+05   .9999989 -.0014291 -.0005017
T   63  8 .9974105E+08   8020000E+01  .1682E+06  .1022E+06   .9999701  .0041825  .0065072
T   64  8 .9964918E+08   8020000E+01 -.2164E+05 -.7781E+05   .9999927 -.0028467 -.0025416
T   65  8 .9959434E+08   8020000E+01  .1701E+06  .4684E+05   .9999982  .0000160  .0019048
T   66  8 .9941874E+08   8020000E+01 -.9162E+05  .3390E+05   .9999945 -.0024464  .0022297
T   67  8 .9985877E+08   8020000E+01  .2177E+06 -.1166E+06   .9999837  .0048208 -.0030620
T   68  8 .9982699E+08   8020000E+01  .7430E+05  .7380E+05   .9999985 -.0002956  .0017108
T   69  8 .9982323E+08   8020000E+01  .2305E+06  .9713E+05   .9999948  .0029730  .0012156
T   70  8 .9965204E+08   8020000E+01 -.3620E+05 -.1007E+06   .9999986 -.0015217  .0007397
T   71  8 .1000535E+09   8020000E+01 -.1414E+06  .5446E+05   .9999964 -.0026936 -.0000665
T   72  8 .9969539E+08   8020000E+01 -.1109E+05  .1714E+06   .9999999  .0000651 -.0005157
T   73  8 .9951381E+08   8020000E+01 -.1265E+04  .7693E+05   .9999980  .0001518  .0020103
T   74  8 .9975508E+08   8020000E+01  .6669E+05 -.2423E+06   .9999940  .0002695 -.0034655
T   75  8 .9958876E+08   8020000E+01 -.4191E+05 -.8841E+05   .9999976  .0019170 -.0010560
T   76  8 .9972920E+08   8020000E+01  .1790E+06 -.3889E+05   .9999990  .0006252 -.0012936
T   77  8 .9962512E+08   8020000E+01  .3067E+05 -.5474E+04   .9999995  .0004069 -.0009356
T   78  8 .9948357E+08   8020000E+01  .2192E+06 -.3338E+06   .9999699  .0035484 -.0069037
T   79  8 .9947161E+08   8020000E+01  .5839E+04 -.8392E+05   .9999996  .0007909  .0003640
T   80  8 .9967582E+08   8020000E+01  .4569E+05 -.2973E+06   .9999803  .0012005 -.0061609
T   81  8 .9963884E+08   8020000E+01  .1081E+06  .8594E+04   .9999979  .0004832 -.0019702
T   82  8 .1000760E+09   8020000E+01 -.6448E+06 -.5187E+06   .9999357 -.0067236 -.0091305
T   83  8 .9967407E+08   8020000E+01  .1101E+06  .1396E+06   .9999992 -.0005700 -.0011354
T   84  8 .9982776E+08   8020000E+01 -.5538E+05 -.1542E+06   .9999848 -.0054557  .0008516
T   85  8 .9979253E+08   8020000E+01 -.8525E+05 -.5452E+05   .9999957 -.0027821 -.0009376
T   86  8 .9972056E+08   8020000E+01 -.1577E+06 -.2249E+04   .9999990 -.0013742 -.0001978
T   87  8 .9977827E+08   8020000E+01 -.7690E+05  .1238E+06   .9999982  .0016584  .0009146
T   88  8 .1000078E+09   8020000E+01  .1603E+05  .1768E+05   .9999936 -.0014662  .0032628
T   89  8 .9973601E+08   8020000E+01 -.4160E+04 -.1286E+06   .9999916  .0024799 -.0032544
T   90  8 .9982621E+08   8020000E+01 -.1774E+05 -.3569E+05   .9999980 -.0018012 -.0008730
T   91  8 .9983992E+08   8020000E+01  .6004E+05  .6330E+05   .9999913  .0041675 -.0000944
T   92  8 .9972467E+08   8020000E+01 -.5865E+05 -.1550E+06   .9999963 -.0015285 -.0022408
T   93  8 .9994394E+08   8020000E+01  .1140E+05  .1596E+06   .9999961 -.0010603  .0025656
T   94  8 .9964617E+08   8020000E+01  .2914E+05 -.5132E+05   .9999977 -.0016776 -.0013190
T   95  8 .9979804E+08   8020000E+01 -.1615E+06  .1262E+06   .9999961 -.0020323  .0019028
T   96  8 .9944947E+08   8020000E+01  .2190E+05 -.1048E+06   .9999999 -.0002297 -.0002835
T   97  8 .9964294E+08   8020000E+01 -.3175E+06  .1588E+05   .9999809 -.0055376  .0027404
T   98  8 .9943384E+08   8020000E+01  .1223E+05  .1353E+06   .9999987  .0009383  .0012912
T   99  8 .9942533E+08   8020000E+01  .5565E+05 -.1626E+06   .9999932  .0015012 -.0033772
T  100  8 .9972568E+08   8020000E+01 -.9064E+05 -.1303E+06   .9999963 -.0012315 -.0024438
T  101  8 .9961543E+08   8020000E+01  .1576E+05 -.3191E+05   .9999982  .0002717 -.0019017
T  102  8 .9969157E+08   8020000E+01 -.2260E+06 -.2980E+04   .9999993 -.0010901  .0004388
T  103  8 .9972612E+08   8020000E+01  .6494E+05 -.7496E+05   .9999939 -.0031842 -.0014070
T  104  8 .9949318E+08   8020000E+01  .3648E+05 -.4504E+05   .9999931  .0008378 -.0036261
T  105  8 .9986451E+08   8020000E+01 -.1710E+05 -.9097E+05   .9999959 -.0003146 -.0028536
T  106  8 .9973257E+08   8020000E+01 -.3176E+02 -.6654E+04   .9999371 -.0103660  .0042914
T  107  8 .9964317E+08   8020000E+01 -.1704E+05  .2371E+06   .9999970  .0009326 -.0022661
T  108  8 .9968544E+08   8020000E+01  .1329E+06 -.8048E+04   .9999948  .0031879 -.0004512
T  109  8 .9949374E+08   8020000E+01 -.5524E+05  .4265E+05   .9999950  .0005610 -.0031003
T  110  8 .9997315E+08   8020000E+01 -.2120E+06 -.2119E+06   .9999970 -.0019443 -.0014660
T  111  8 .9956782E+08   8020000E+01  .1781E+04  .1775E+06   .9999923  .0014487  .0036513
T  112  8 .9976896E+08   8020000E+01 -.8347E+04 -.1098E+06   .9999984  .0002086 -.0017809
T  113  8 .9961127E+08   8020000E+01 -.4156E+05  .1042E+06   .9999981 -.0015400  .0011526
T  114  8 .9959602E+08   8020000E+01 -.5175E+05  .1136E+06   .9999800 -.0031936  .0054535
T  115  8 .9979599E+08   8020000E+01 -.1576E+06 -.6948E+05   .9999956 -.0029209 -.0005475
T  116  8 .9976569E+08   8020000E+01 -.1765E+06 -.1676E+06   .9999946 -.0005142 -.0032500
T  117  8 .9978488E+08   8020000E+01 -.2121E+05  .2009E+05   .9999471 -.0094777 -.0040048
T  118  8 .9982546E+08   8020000E+01  .1257E+06 -.1336E+06   .9999920  .0013014 -.0037729
T  119  8 .9971476E+08   8020000E+01 -.2722E+06  .5114E+05   .9999939 -.0035053 -.0000906
T  120  8 .9986533E+08   8020000E+01 -.1959E+04 -.5965E+05   .9999959 -.0001851 -.0028748
T  121  8 .9994658E+08   8020000E+01  .1044E+06  .7754E+05   .9999913 -.0009065  .0040611
T  122  8 .9984075E+08   8020000E+01 -.3349E+06 -.6489E+05   .9999869 -.0042575  .0028403
T  123  8 .9961233E+08   8020000E+01  .1158E+06 -.4669E+05   .9999997  .0006660 -.0002867
T  124  8 .9993106E+08   8020000E+01  .1176E+06 -.1482E+06   .9999969  .0020411 -.0014254
T  125  8 .9971935E+08   8020000E+01 -.9786E+03  .1252E+04   .9999976 -.0021839 -.0001162
T  126  8 .9936149E+08   8020000E+01  .2305E+05  .1239E+06   .9999962  .0016651  .0021784
T  127  8 .9964409E+08   8020000E+01  .6650E+05  .1176E+06   .9999998  .0005613  .0004276
T  128  8 .9962197E+08   8020000E+01  .2473E+06 -.1288E+06   .9999977  .0017846 -.0012034
T  129  8 .9965571E+08   8020000E+01 -.1918E+06 -.8394E+05   .9999815 -.0059893  .0010291
T  130  8 .9985012E+08   8020000E+01 -.2859E+06  .7215E+05   .9999938 -.0035122 -.0003868
T  131  8 .9979755E+08   8020000E+01 -.1129E+06 -.2796E+05   .9999907  .0024647 -.0035416
T  132  8 .9970876E+08   8020000E+01 -.9878E+05 -.1888E+05   .9999979 -.0015336 -.0013427
T  133  8 .9980124E+08   8020000E+01  .2392E+06  .1490E+06   .9999966  .0016192  .0020360
T  134  8 .9977483E+08   8020000E+01 -.1398E+05 -.7317E+05   .9999983  .0016039 -.0009404
T  135  8 .9975803E+08   8020000E+01 -.6817E+05 -.3827E+04   .9999998 -.0003249  .0005093
T  136  8 .9970157E+08   8020000E+01 -.1023E+06 -.1198E+06   .9999999 -.0001546 -.0002869
T  137  8 .9981695E+08   8020000E+01  .1742E+06 -.1194E+06   .9999949 -.0003270 -.0031745
T  138  8 .9986591E+08   8020000E+01 -.9138E+05  .2104E+06   .9999717 -.0052464 -.0053955
T  139  8 .9957460E+08   8020000E+01  .2040E+06  .2249E+06   .9999981  .0008537  .0017460
T  140  8 .9986215E+08   8020000E+01  .1199E+06 -.3864E+06   .9999890  .0021029 -.0042016
T  141  8 .9972420E+08   8020000E+01 -.1085E+06  .1866E+06   .9999973 -.0006365  .0022530
T  142  8 .9959286E+08   8020000E+01 -.1223E+06 -.1435E+06   .9999977 -.0020659  .0005337
T  143  8 .9997198E+08   8020000E+01  .5083E+05  .2911E+06   .9999708  .0029811  .0070398
T  144  8 .9968422E+08   8020000E+01 -.6187E+05  .1027E+06   .9999995 -.0007985 -.0005410
T  145  8 .9974800E+08   8020000E+01 -.3732E+05 -.9522E+05   .9999871 -.0050310  .0007204
T  146  8 .9964682E+08   8020000E+01  .4976E+05 -.9993E+05   .9999969  .0024927 -.0002788
T  147  8 .9975774E+08   8020000E+01  .7958E+05 -.2389E+05   .9999977  .0018476 -.0011119
T  148  8 .9964437E+08   8020000E+01 -.2311E+05 -.4564E+05   .9999952 -.0016805 -.0025976
T  149  8 .9951197E+08   8020000E+01  .1627E+06  .1871E+06   .9999959  .0015224  .0024403
T  150  8 .1000223E+09   8020000E+01 -.6491E+05 -.1300E+06   .9999999  .0000471 -.0001122
T  151  8 .9965360E+08   8020000E+01  .1213E+05 -.1609E+06   .9999952 -.0030925 -.0000736
T  152  8 .9954829E+08   8020000E+01 -.1675E+06 -.6083E+05   .9999874 -.0045089 -.0021954
T  153  8 .9968591E+08   8020000E+01 -.7195E+05 -.1204E+06   .9999996  .0003968 -.0007503
T  154  8 .9964469E+08   8020000E+01  .1201E+06  .1720E+05   .9999977  .0006840 -.0020128
T  155  8 .9988843E+08   8020000E+01 -.1245E+06 -.1614E+06   .9999977 -.0002878  .0021072
T  156  8 .9996669E+08   8020000E+01  .3069E+05  .8312E+05   .9999894  .0019973  .0041397
T  157  8 .9954720E+08   8020000E+01  .7134E+05  .1099E+06   .9999999  .0002548  .0000744
T  158  8 .9979639E+08   8020000E+01 -.4404E+06 -.8182E+05   .9999805 -.0062510 -.0001270
T  159  8 .9939245E+08   8020000E+01  .1341E+05  .2428E+05   .9999914  .0030900  .0027669
T  160  8 .9973674E+08   8020000E+01 -.7948E+05 -.1608E+06   .9999999  .0001487  .0001944
T  161  8 .9961640E+08   8020000E+01  .5522E+05 -.1425E+06   .9999973 -.0022312 -.0005731
T  162  8 .9990042E+08   8020000E+01  .5646E+05  .8633E+04   .9999952  .0024544  .0018887
T  163  8 .9984287E+08   8020000E+01 -.7675E+05 -.4619E+05   .9999997 -.0004611  .0006179
T  164  8 .9964222E+08   8020000E+01 -.8130E+05  .7132E+05   .9999951 -.0030617  .0006447
